Species,Pose_#,Compound,Num_hbonds,mean h_bonds,Chimera_score,mean_score
D. tin,Pose 1,BTX,0,0.8888888889,-8.5,-7.79
D. tin,Pose 2,BTX,1,,-8.2,
D. tin,Pose 3,BTX,0,,-8.1,
D. tin,Pose 4,BTX,1,,-7.8,
D. tin,Pose 5,BTX,1,,-7.8,
D. tin,Pose 6,BTX,2,,-7.6,
D. tin,Pose 7,BTX,2,,-7.5,
D. tin,Pose 8,BTX,0,,-7.5,
D. tin,Pose 9,BTX,1,,-7.5,
D. tin,Pose 10,BTX,0,,-7.4,
D. tin,Pose 1,DHQ,1,0.3333333333,-5.6,-5.29
D. tin,Pose 2,DHQ,0,,-5.4,
D. tin,Pose 3,DHQ,1,,-5.4,
D. tin,Pose 4,DHQ,1,,-5.4,
D. tin,Pose 5,DHQ,0,,-5.3,
D. tin,Pose 6,DHQ,0,,-5.2,
D. tin,Pose 7,DHQ,0,,-5.2,
D. tin,Pose 8,DHQ,0,,-5.2,
D. tin,Pose 9,DHQ,0,,-5.1,
D. tin,Pose 10,DHQ,0,,-5.1,
D. tin,Pose 1,PIP,2,0.3333333333,-5.7,-5.409090909
D. tin,Pose 2,PIP,0,,-5.6,
D. tin,Pose 3,PIP,0,,-5.5,
D. tin,Pose 4,PIP,0,,-5.4,
D. tin,Pose 5,PIP,0,,-5.3,
D. tin,Pose 6,PIP,0,,-5.3,
D. tin,Pose 7,PIP,0,,-5.2,
D. tin,Pose 8,PIP,1,,-5.2,
D. tin,Pose 9,PIP,0,,-5.1,
D. tin,Pose 10,PIP,2,,-5.1,
D. tin,Pose 1,PTX,1,0.4444444444,-6.1,-5.59
D. tin,Pose 2,PTX,0,,-6,
D. tin,Pose 3,PTX,0,,-5.8,
D. tin,Pose 4,PTX,0,,-5.8,
D. tin,Pose 5,PTX,1,,-5.8,
D. tin,Pose 6,PTX,0,,-5.6,
D. tin,Pose 7,PTX,0,,-5.5,
D. tin,Pose 8,PTX,1,,-5.4,
D. tin,Pose 9,PTX,1,,-5.4,
D. tin,Pose 10,PTX,0,,-5.3,
D. tin,Pose 1,SPRO,0,0.5555555556,-5.3,-5.16
D. tin,Pose 2,SPRO,0,,-5.2,
D. tin,Pose 3,SPRO,1,,-5.1,
D. tin,Pose 4,SPRO,1,,-5.1,
D. tin,Pose 5,SPRO,1,,-5.1,
D. tin,Pose 6,SPRO,0,,-5,
D. tin,Pose 7,SPRO,1,,-4.9,
D. tin,Pose 8,SPRO,1,,-4.8,
D. tin,Pose 9,SPRO,0,,-4.8,
D. tin,Pose 10,SPRO,1,,-4.8,
D. tin,Pose 1,STX,6,3,-6.8,-6.288888889
D. tin,Pose 2,STX,3,,-6.6,
D. tin,Pose 3,STX,3,,-6.6,
D. tin,Pose 4,STX,1,,-6.4,
D. tin,Pose 5,STX,0,,-6.4,
D. tin,Pose 6,STX,3,,-6.3,
D. tin,Pose 7,STX,7,,-6.1,
D. tin,Pose 8,STX,3,,-6.1,
D. tin,Pose 9,STX,1,,-6.1,
D. tin,Pose 10,STX,2,,-6,
O. syl,Pose 1,BTX,2,1.333333333,-9.1,-7.69
O. syl,Pose 2,BTX,2,,-8.2,
O. syl,Pose 3,BTX,1,,-7.8,
O. syl,Pose 4,BTX,0,,-7.7,
O. syl,Pose 5,BTX,2,,-7.6,
O. syl,Pose 6,BTX,1,,-7.5,
O. syl,Pose 7,BTX,2,,-7.3,
O. syl,Pose 8,BTX,1,,-7.3,
O. syl,Pose 9,BTX,1,,-7.2,
O. syl,Pose 10,BTX,1,,-7.2,
O. syl,Pose 1,DHQ,1,0.6666666667,-5.3,-4.8
O. syl,Pose 2,DHQ,1,,-5.2,
O. syl,Pose 3,DHQ,1,,-4.9,
O. syl,Pose 4,DHQ,0,,-4.8,
O. syl,Pose 5,DHQ,1,,-4.8,
O. syl,Pose 6,DHQ,0,,-4.7,
O. syl,Pose 7,DHQ,1,,-4.6,
O. syl,Pose 8,DHQ,1,,-4.6,
O. syl,Pose 9,DHQ,0,,-4.6,
O. syl,Pose 10,DHQ,0,,-4.5,
O. syl,Pose 1,PIP,1,1.111111111,-4.8,-4.49
O. syl,Pose 2,PIP,1,,-4.7,
O. syl,Pose 3,PIP,1,,-4.6,
O. syl,Pose 4,PIP,2,,-4.6,
O. syl,Pose 5,PIP,0,,-4.5,
O. syl,Pose 6,PIP,1,,-4.4,
O. syl,Pose 7,PIP,2,,-4.4,
O. syl,Pose 8,PIP,1,,-4.3,
O. syl,Pose 9,PIP,1,,-4.3,
O. syl,Pose 10,PIP,1,,-4.3,
O. syl,Pose 1,PTX,0,0.4444444444,-5.4,-5.05
O. syl,Pose 2,PTX,0,,-5.4,
O. syl,Pose 3,PTX,0,,-5.3,
O. syl,Pose 4,PTX,0,,-5.1,
O. syl,Pose 5,PTX,1,,-5,
O. syl,Pose 6,PTX,1,,-5,
O. syl,Pose 7,PTX,1,,-5,
O. syl,Pose 8,PTX,0,,-4.9,
O. syl,Pose 9,PTX,1,,-4.7,
O. syl,Pose 10,PTX,1,,-4.7,
